Model,AIC,Pseudo_R2 / R2,LogLik
Poisson,2903534.1490061525,0.13815523063398438,-1451761.0745030763
Negative Binomial,2903534.048239071,0.13815514545494445,-1451761.0241195355
OLS (HC3),4356886.994550732,0.020669866318109742,-2178437.497275366
